	Length	Diameter
4	0.33	0.255
5	0.425	0.3
16	0.355	0.28
21	0.38	0.275
42	0.24	0.175
43	0.205	0.15
44	0.21	0.15
45	0.39	0.295
48	0.325	0.245
50	0.52	0.41
58	0.245	0.19
69	0.31	0.235
100	0.36	0.265
112	0.435	0.32
121	0.385	0.295
124	0.36	0.28
125	0.27	0.195
126	0.375	0.275
127	0.385	0.29
133	0.35	0.26
134	0.265	0.2
147	0.28	0.205
148	0.175	0.13
149	0.17	0.13
174	0.235	0.16
175	0.36	0.26
176	0.315	0.21
177	0.315	0.245
178	0.225	0.16
193	0.355	0.275
206	0.4	0.3
207	0.435	0.34
209	0.37	0.28
217	0.405	0.3
224	0.425	0.38
227	0.365	0.27
233	0.275	0.215
234	0.44	0.35
235	0.295	0.225
236	0.075	0.055
237	0.13	0.1
238	0.11	0.09
239	0.16	0.12
241	0.27	0.2
242	0.23	0.175
243	0.3	0.23
244	0.33	0.255
245	0.35	0.26
246	0.32	0.245
247	0.36	0.275
248	0.305	0.245
249	0.345	0.27
250	0.33	0.25
263	0.245	0.195
281	0.36	0.285
295	0.295	0.215
296	0.275	0.205
297	0.28	0.21
305	0.2	0.145
306	0.165	0.12
315	0.45	0.355
319	0.33	0.255
320	0.265	0.21
321	0.19	0.145
323	0.265	0.205
325	0.355	0.275
326	0.32	0.255
329	0.36	0.28
332	0.3	0.22
333	0.235	0.175
347	0.34	0.26
348	0.375	0.305
389	0.465	0.375
390	0.415	0.325
393	0.365	0.295
394	0.345	0.275
395	0.39	0.31
404	0.44	0.345
421	0.49	0.38
423	0.29	0.225
424	0.26	0.2
434	0.44	0.345
436	0.36	0.275
437	0.385	0.305
440	0.36	0.275
441	0.335	0.26
443	0.395	0.295
457	0.36	0.28
458	0.415	0.31
462	0.24	0.185
463	0.22	0.165
464	0.255	0.195
465	0.175	0.125
472	0.43	0.34
509	0.56	0.445
510	0.68	0.53
522	0.365	0.26
530	0.53	0.42
532	0.47	0.37
534	0.47	0.37
535	0.465	0.38
536	0.52	0.405
549	0.555	0.425
550	0.65	0.515
551	0.615	0.49
552	0.56	0.44
553	0.48	0.37
554	0.485	0.39
555	0.5	0.385
556	0.525	0.405
559	0.52	0.4
561	0.515	0.4
566	0.485	0.355
567	0.435	0.33
570	0.45	0.35
571	0.45	0.345
574	0.61	0.475
576	0.56	0.425
578	0.58	0.445
581	0.55	0.425
583	0.46	0.355
585	0.495	0.39
586	0.52	0.425
590	0.51	0.4
592	0.525	0.41
595	0.575	0.455
597	0.605	0.47
598	0.605	0.495
600	0.535	0.42
603	0.47	0.345
604	0.515	0.39
605	0.425	0.345
607	0.485	0.37
613	0.495	0.37
614	0.45	0.35
621	0.485	0.38
624	0.465	0.36
628	0.53	0.415
630	0.475	0.365
633	0.47	0.36
638	0.44	0.345
641	0.62	0.485
645	0.445	0.33
648	0.46	0.35
651	0.335	0.245
652	0.47	0.35
658	0.58	0.49
660	0.65	0.525
661	0.535	0.45
664	0.45	0.355
680	0.37	0.275
691	0.255	0.19
694	0.165	0.11
695	0.315	0.23
696	0.155	0.105
709	0.295	0.225
710	0.325	0.25
712	0.28	0.205
715	0.275	0.2
716	0.29	0.205
717	0.25	0.19
718	0.18	0.125
719	0.15	0.1
720	0.16	0.11
771	0.485	0.375
783	0.385	0.28
784	0.215	0.155
803	0.37	0.275
806	0.28	0.205
812	0.235	0.175
813	0.255	0.185
814	0.315	0.24
815	0.325	0.25
816	0.335	0.25
817	0.35	0.27
818	0.35	0.25
819	0.36	0.3
820	0.365	0.275
821	0.37	0.275
822	0.38	0.275
823	0.385	0.29
824	0.385	0.3
825	0.395	0.29
826	0.395	0.29
827	0.4	0.31
828	0.41	0.325
829	0.415	0.32
831	0.425	0.325
832	0.44	0.365
833	0.445	0.335
834	0.445	0.325
835	0.45	0.35
837	0.475	0.365
839	0.485	0.355
892	0.205	0.14
893	0.24	0.175
894	0.24	0.175
895	0.255	0.19
896	0.255	0.18
897	0.265	0.195
898	0.28	0.12
899	0.295	0.23
900	0.3	0.235
901	0.3	0.23
902	0.305	0.22
903	0.315	0.235
904	0.315	0.23
905	0.32	0.24
906	0.325	0.24
907	0.33	0.265
908	0.335	0.25
909	0.335	0.25
910	0.34	0.25
911	0.34	0.25
912	0.345	0.265
913	0.37	0.29
914	0.37	0.28
915	0.375	0.28
916	0.385	0.265
917	0.41	0.31
918	0.41	0.305
919	0.41	0.31
920	0.415	0.33
921	0.42	0.32
922	0.42	0.315
923	0.425	0.34
924	0.425	0.315
925	0.43	0.325
926	0.43	0.325
927	0.435	0.325
928	0.435	0.34
929	0.44	0.345
930	0.44	0.325
932	0.445	0.35
933	0.45	0.36
934	0.45	0.355
935	0.45	0.345
936	0.45	0.335
937	0.455	0.355
938	0.455	0.375
939	0.46	0.36
940	0.46	0.345
941	0.465	0.365
942	0.465	0.37
943	0.465	0.345
958	0.5	0.385
962	0.505	0.39
964	0.505	0.355
966	0.51	0.375
967	0.51	0.405
1053	0.185	0.13
1054	0.195	0.15
1055	0.195	0.135
1056	0.2	0.155
1057	0.225	0.165
1058	0.245	0.18
1059	0.25	0.18
1060	0.265	0.195
1061	0.275	0.195
1062	0.28	0.21
1063	0.285	0.22
1064	0.3	0.22
1065	0.315	0.235
1066	0.32	0.225
1067	0.34	0.265
1068	0.37	0.28
1069	0.375	0.28
1070	0.375	0.275
1071	0.385	0.29
1072	0.4	0.32
1073	0.405	0.3
1074	0.41	0.3
1075	0.41	0.325
1076	0.42	0.3
1077	0.42	0.32
1078	0.42	0.31
1079	0.425	0.325
1081	0.435	0.33
1082	0.435	0.345
1083	0.44	0.33
1084	0.445	0.345
1085	0.445	0.34
1086	0.445	0.335
1087	0.45	0.365
1088	0.45	0.34
1089	0.45	0.33
1090	0.45	0.33
1091	0.45	0.33
1092	0.46	0.35
1094	0.47	0.38
1095	0.475	0.35
1096	0.475	0.35
1097	0.48	0.38
1099	0.5	0.375
1100	0.5	0.375
1101	0.5	0.38
1104	0.51	0.405
1106	0.51	0.4
1107	0.51	0.38
1108	0.515	0.385
1110	0.52	0.38
1111	0.52	0.38
1113	0.525	0.4
1114	0.525	0.4
1116	0.525	0.395
1117	0.53	0.4
1118	0.535	0.39
1119	0.54	0.42
1135	0.57	0.44
1141	0.575	0.435
1184	0.665	0.5
1210	0.185	0.375
1211	0.245	0.205
1212	0.25	0.185
1213	0.25	0.19
1214	0.275	0.195
1215	0.305	0.215
1216	0.31	0.225
1217	0.315	0.23
1218	0.315	0.23
1219	0.325	0.225
1220	0.33	0.25
1221	0.33	0.205
1222	0.335	0.245
1223	0.34	0.25
1224	0.345	0.255
1225	0.345	0.255
1226	0.35	0.27
1227	0.35	0.255
1228	0.36	0.27
1229	0.365	0.27
1230	0.365	0.27
1231	0.365	0.265
1232	0.37	0.29
1233	0.37	0.28
1234	0.375	0.29
1235	0.375	0.29
1236	0.375	0.275
1237	0.375	0.275
1238	0.375	0.28
1239	0.375	0.27
1240	0.38	0.275
1241	0.38	0.27
1242	0.385	0.29
1243	0.385	0.28
1244	0.385	0.3
1245	0.385	0.28
1246	0.39	0.3
1247	0.395	0.305
1248	0.395	0.295
1249	0.395	0.27
1250	0.4	0.29
1251	0.405	0.285
1252	0.41	0.335
1253	0.42	0.305
1254	0.425	0.325
1255	0.425	0.32
1256	0.425	0.31
1257	0.43	0.34
1258	0.43	0.315
